dataset,node,epsilon,min_samples,id,precision,recall,fscore
BGP_testbed_2,leaf1,10.0,22,5170,1.0,0.57,0.8689024390243902
BGP_testbed_2,leaf2,10.0,22,5171,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf3,10.0,22,5172,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf5,10.0,22,5173,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf6,10.0,22,5174,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf7,10.0,22,5175,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf8,10.0,22,5176,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine1,10.0,22,5177,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine2,10.0,22,5178,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine3,10.0,22,5179,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine4,10.0,22,5180,1.0,0.43,0.7904411764705883
BGP_testbed_3,leaf1,10.0,22,5181,1.0,0.62,0.8908045977011495
BGP_testbed_3,leaf2,10.0,22,5182,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf3,10.0,22,5183,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf5,10.0,22,5184,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf6,10.0,22,5185,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf7,10.0,22,5186,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf8,10.0,22,5187,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine1,10.0,22,5188,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine2,10.0,22,5189,1.0,0.75,0.9375
BGP_testbed_3,spine3,10.0,22,5190,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine4,10.0,22,5191,1.0,0.88,0.9734513274336285
BGP_testbed_2,leaf1,10.0,24,5192,1.0,0.57,0.8689024390243902
BGP_testbed_2,leaf2,10.0,24,5193,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf3,10.0,24,5194,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf5,10.0,24,5195,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf6,10.0,24,5196,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf7,10.0,24,5197,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf8,10.0,24,5198,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine1,10.0,24,5199,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine2,10.0,24,5200,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine3,10.0,24,5201,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine4,10.0,24,5202,1.0,0.43,0.7904411764705883
BGP_testbed_3,leaf1,10.0,24,5203,1.0,0.62,0.8908045977011495
BGP_testbed_3,leaf2,10.0,24,5204,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf3,10.0,24,5205,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf5,10.0,24,5206,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf6,10.0,24,5207,1.0,0.75,0.9375
BGP_testbed_3,leaf7,10.0,24,5208,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf8,10.0,24,5209,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine1,10.0,24,5210,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine2,10.0,24,5211,1.0,0.75,0.9375
BGP_testbed_3,spine3,10.0,24,5212,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine4,10.0,24,5213,1.0,0.88,0.9734513274336285
BGP_testbed_2,leaf1,10.0,26,5214,1.0,0.57,0.8689024390243902
